eeacellcode	T	Sobs	Q1	Q2	U	C1_hat	C1_lo	C1_hi	C1_width	C0_hat	C0_lo	C0_hi	C0_width	reliable_complete
5kmE4015N3075	5710	2571	975	338	32864	0.9703358810598295	0.983339850835119	0.9869504733447089	0.003610622509589878	0.6464665813799375	0.8223210396028356	0.896891820932741	0.07457078132990536	True
5kmE4030N3075	3312	2409	1024	351	18351	0.9442107774316146	0.9683726514262169	0.9760427748817111	0.007670123455494227	0.6173366252505184	0.7923862639364462	0.8854079653007471	0.09302170136430088	True
5kmE4025N3075	4994	3532	1303	462	47578	0.9726172817857699	0.9844723841013432	0.9880609193351667	0.00358853523382352	0.6578398790634633	0.8317247056644084	0.9045849881757178	0.07286028251130938	True
5kmE4005N3075	208	156	110	23	255	0.5694971537001898	0.7435713621986815	0.8665071698153459	0.12293580761666445	0.3734033004211834	0.5706403967328423	0.8766152209382617	0.30597482420541944	False
5kmE4000N3080	3899	1944	728	236	23317	0.9687833369473007	0.9800141755716065	0.9883195297517812	0.00830535418017464	0.6339352020946504	0.7874287603715847	0.9223493820445953	0.13492062167301055	True
5kmE4015N3080	7511	4260	1343	495	93170	0.9855869036309565	0.9917889582404247	0.9933817690171747	0.0015928107767499977	0.7004706666659983	0.858186537809386	0.9075357855147282	0.049349247705342214	True
5kmE4020N3080	5621	3030	1094	407	36353	0.9699101812968436	0.982524374071679	0.9863087816431672	0.0037844075714881242	0.6733254148676038	0.832620282237997	0.8974968609377598	0.06487657869976282	True
5kmE4030N3080	2805	1849	779	250	11492	0.9322292269302359	0.962988981414534	0.9706670038232933	0.007678022408759255	0.6038045273017799	0.8055982838171618	0.8822749973465045	0.07667671352934269	True
5kmE4010N3080	6729	4085	1257	498	86415	0.9854556271552094	0.9912107585815908	0.9929192377648138	0.0017084791832230328	0.72031133797907	0.855043243276385	0.9006648414051106	0.04562159812872557	True
5kmE4025N3080	4564	2931	1098	373	33389	0.9671198138486725	0.981451239930804	0.9854891260337918	0.004037886102987831	0.64463811365214	0.8307432226944517	0.8986074468497545	0.0678642241553028	True
5kmE4005N3080	2615	1867	841	305	10460	0.9196207738148274	0.9499534118068158	0.9672261514992847	0.017272739692468897	0.6169792583814079	0.7561681675829963	0.8889821927793811	0.13281402519638474	True
5kmE4015N3085	6593	4505	1405	546	90615	0.9844966687172174	0.9909401582642942	0.9925392188313501	0.0015990605670559432	0.7136700350482842	0.8578292643748756	0.904160636048577	0.04633137167370138	True
5kmE4010N3085	6768	4603	1414	579	103269	0.9863092612872002	0.9919699999803827	0.9935336917296859	0.0015636917493031532	0.7272481357195285	0.8598769190450849	0.9123503317733559	0.052473412728270996	True
5kmE4020N3085	75	134	99	27	180	0.4540243902439024	0.6345526634229408	0.8680989249493789	0.2335462615264381	0.42800562156637284	0.5253048541696537	0.8753806298284297	0.350075775658776	False
5kmE4005N3085	3578	2368	977	354	16538	0.9409358986054153	0.9646134051184442	0.9737760499393776	0.00916264482093343	0.6372738461320073	0.8025303606151728	0.8803242612347503	0.07779390061957747	True
5kmE4000N3085	3427	2104	810	272	20701	0.9608791244208023	0.9762382163093939	0.983710482806759	0.007472266497365099	0.635704427542949	0.8025112524775457	0.8933295929198679	0.09081834044232218	True
5kmE4000N3090	2439	1757	698	256	11703	0.9403751127947534	0.9627076146449466	0.975390563257228	0.012682948612281364	0.648775152722884	0.7885529932323713	0.9026027460714541	0.11404975283908281	True
5kmE4010N3090	4501	2686	1097	398	22687	0.9516541129444411	0.9723257196547035	0.9789812697916809	0.006655550136977384	0.6399070732842246	0.811947934529684	0.8804395380205251	0.06849160349084116	True
5kmE4005N3090	3058	2023	770	318	16274	0.9526980454041861	0.9696204328927445	0.9797916859033257	0.010171253010581194	0.6846190837791077	0.7909988952664414	0.9068208788473371	0.11582198358089568	True
5kmE4015N3090	3543	1908	814	306	11000	0.9260157042790762	0.9556904507903147	0.9671924320703298	0.011501981280015117	0.638048641965784	0.7814403800687578	0.8740108389856016	0.09257045891684379	True
5kmE4010N3095	4475	2746	1035	410	22669	0.9543510189567193	0.9710698480821235	0.9809631857205131	0.009893337638389621	0.6776766459149282	0.7867635058318038	0.9112706037347817	0.12450709790297798	True
5kmE4015N3095	5639	3019	1113	415	37513	0.9703342093635579	0.9820474441392937	0.9872119942465101	0.005164550107216392	0.6692190983396754	0.810716298933542	0.9024192168759096	0.09170291794236762	True
5kmE4005N3095	3703	2406	848	330	21115	0.9598474186377415	0.9745067070254565	0.9824280097906792	0.007921302765222737	0.6883613442520217	0.8217100997243216	0.9114818124481265	0.08977171272380491	True
5kmE4020N3095	3869	1843	732	251	14441	0.9493199750590142	0.970419628599557	0.9779586183883664	0.007538989788809403	0.6333110028364042	0.8069681922998813	0.8880775923711526	0.08110940007127132	True
5kmE4020N3100	6004	2602	885	372	37835	0.9766122352498153	0.986459926720877	0.9890461091172649	0.0025861823963878594	0.711989858257632	0.8398939774713325	0.8988750187648906	0.05898104129355808	True
5kmE4015N3100	6165	3213	1213	440	43561	0.9721572679148308	0.9835663693118488	0.9884071619303852	0.004840792618536427	0.6577628791835617	0.8095342252762328	0.8976947647667137	0.08816053949048097	True
5kmE4010N3100	4044	2380	925	361	19757	0.9531901880747167	0.9703605987684084	0.9815506352412706	0.011190036472862208	0.6676422974535857	0.795030377212133	0.9248124313981863	0.12978205418605326	True
5kmE4005N3100	5587	2137	758	317	21150	0.9641661220349349	0.9776997204695789	0.9838181537852546	0.006118433315675742	0.702246692876292	0.8275738458640476	0.8992409150662277	0.07166706920218013	True
5kmE4005N3105	4484	2977	1021	374	29366	0.96523758173709	0.9787543494582559	0.9848624780622108	0.006108128603954932	0.6811847418624253	0.8266106630263631	0.9117377885737677	0.08512712554740465	True
5kmE4025N3105	3513	1330	499	186	10342	0.9517603848454731	0.9710355796677558	0.9794075160184885	0.008371936350732745	0.6652770913733191	0.8139548218512354	0.9038693113259948	0.08991448947475944	True
5kmE4015N3105	5547	2843	1090	378	28798	0.9621548821937508	0.9769305094369015	0.984078214622192	0.007147705185290509	0.6440465016369071	0.8002010370367275	0.9046797022960072	0.10447866525927973	True
5kmE4020N3105	6584	2730	953	345	49561	0.9807732855250472	0.9886067126273339	0.9913826702401154	0.0027759576127814878	0.6747329780092597	0.8372356023824776	0.9009159491331408	0.06368034675066314	True
5kmE4010N3105	3040	1977	754	261	14211	0.9469545934774247	0.9679378713190379	0.9766440714842625	0.008706200165224609	0.6448660724344848	0.7956003841695077	0.8961501951535483	0.10054981098404059	True
5kmE3925N3080	1816	1313	657	234	5461	0.8797395623660691	0.9217287133756333	0.9513249877489381	0.02959627437330481	0.5875196067961669	0.6898493470652212	0.8946521886443627	0.20480284157914153	True
5kmE3930N3080	2209	1140	549	208	6058	0.9094071213539434	0.9431237369121404	0.9641225842836371	0.02099884737149671	0.6115244524097178	0.7218316434843279	0.8950972211914053	0.1732655777070774	True
5kmE3935N3080	1178	626	327	93	2979	0.8902846433546374	0.9314483715133708	0.9618528584053502	0.030404486891979388	0.5214932366302455	0.6891109852582207	0.8859075759403751	0.19679659068215438	True
5kmE3920N3080	2209	1560	731	215	7554	0.903255850477637	0.9339410736690644	0.9678336622863032	0.03389258861723876	0.556717875069694	0.6924722212590535	0.9177535941108526	0.22528137285179906	True
5kmE3940N3080	561	667	360	124	1654	0.7826132485052145	0.8312186585049754	0.939246221443139	0.10802756293816351	0.561141201222129	0.5990485079032776	0.9323560030125857	0.3333074951093081	True
5kmE3915N3080	3604	3033	1160	480	25918	0.9552537380755803	0.971275085097197	0.9819737298276937	0.010698644730496754	0.6839896310256273	0.8019038973470732	0.9110019791748573	0.10909808182778402	True
5kmE3915N3085	4845	2415	923	336	24967	0.9630367568180299	0.975563287190807	0.9857170536839387	0.01015376649313171	0.6558062924612852	0.7641904920243214	0.9136393654249976	0.14944887340067614	True
5kmE3925N3085	6710	3230	1262	489	48051	0.9737392719713732	0.9834458719530662	0.9886646579122168	0.005218785959150596	0.6648515116291577	0.777845103168536	0.8979016683014859	0.12005656513294993	True
5kmE3930N3085	5878	2548	1004	365	38782	0.9741149037612385	0.9843558081708543	0.9895878815850394	0.005232073414185079	0.6485756289241391	0.7889028596612075	0.9069814749950312	0.11807861533382369	True
5kmE3975N3085	4640	1487	529	200	27292	0.9806201894851024	0.9882479548841627	0.9920790149413059	0.0038310600571431763	0.6800973394245522	0.8110530497441091	0.9159218809258224	0.1048688311817133	True
5kmE3980N3085	4532	1651	602	215	22788	0.9735867512212274	0.9840871021733513	0.9889409772300314	0.0048538750566801125	0.6620912369733002	0.8045289894470464	0.9052996163521582	0.10077062690511174	True
5kmE3990N3085	3674	1627	574	186	19373	0.9703763620368963	0.9819030742152656	0.9878711206180508	0.005968046402785254	0.6475758228488934	0.813183988869528	0.9112076906889301	0.09802370181940212	True
