eeacellcode	C1_lo
5kmE3980N3070	
5kmE3975N3070	0.47090232983537117
5kmE3995N3075	0.9733474147336834
5kmE3980N3075	0.9849914366290521
5kmE3920N3075	0.7485092177425526
5kmE3915N3075	0.8635085343831843
5kmE3970N3075	0.9125991443586314
5kmE3985N3075	0.9110307668870118
5kmE3975N3075	0.9825893077375247
5kmE3990N3075	0.8670952921022319
5kmE3985N3080	0.973962704820546
5kmE3975N3080	0.9892988781201804
5kmE3980N3080	0.9867210167508157
5kmE3970N3080	0.9756268224751296
5kmE3990N3080	0.9659277387322224
5kmE3995N3080	0.9808013351979626
5kmE3965N3075	0.8478036151861816
5kmE3965N3080	0.9532564764765381
5kmE3955N3080	0.9180879362254214
5kmE3960N3080	0.9633420665542044
5kmE3945N3080	0.8118120352283641
5kmE3950N3080	0.8404952632333302
5kmE4030N3070	0.8209413499887069
5kmE4025N3070	0.9243106408071876
5kmE4020N3070	0.7865071566747315
5kmE4020N3075	0.9833864585063393
5kmE4000N3075	0.9626515205330209
5kmE4015N3075	0.983339850835119
5kmE4030N3075	0.9683726514262169
5kmE4025N3075	0.9844723841013432
5kmE4005N3075	0.7435713621986815
5kmE4000N3080	0.9800141755716065
5kmE4015N3080	0.9917889582404247
5kmE4020N3080	0.982524374071679
5kmE4030N3080	0.962988981414534
5kmE4010N3080	0.9912107585815908
5kmE4025N3080	0.981451239930804
5kmE4005N3080	0.9499534118068158
5kmE4015N3085	0.9909401582642942
5kmE4010N3085	0.9919699999803827
5kmE4020N3085	0.6345526634229408
5kmE4005N3085	0.9646134051184442
5kmE4000N3085	0.9762382163093939
5kmE4000N3090	0.9627076146449466
5kmE4010N3090	0.9723257196547035
5kmE4005N3090	0.9696204328927445
5kmE4015N3090	0.9556904507903147
5kmE4010N3095	0.9710698480821235
5kmE4015N3095	0.9820474441392937
5kmE4005N3095	0.9745067070254565
5kmE4020N3095	0.970419628599557
5kmE4020N3100	0.986459926720877
5kmE4015N3100	0.9835663693118488
5kmE4010N3100	0.9703605987684084
5kmE4005N3100	0.9776997204695789
5kmE4005N3105	0.9787543494582559
5kmE4025N3105	0.9710355796677558
5kmE4015N3105	0.9769305094369015
5kmE4020N3105	0.9886067126273339
5kmE4010N3105	0.9679378713190379
5kmE3925N3080	0.9217287133756333
5kmE3930N3080	0.9431237369121404
5kmE3935N3080	0.9314483715133708
5kmE3920N3080	0.9339410736690644
5kmE3940N3080	0.8312186585049754
5kmE3915N3080	0.971275085097197
5kmE3915N3085	0.975563287190807
5kmE3925N3085	0.9834458719530662
5kmE3930N3085	0.9843558081708543
5kmE3975N3085	0.9882479548841627
5kmE3980N3085	0.9840871021733513
5kmE3990N3085	0.9819030742152656
5kmE3995N3085	0.9789690509298287
5kmE3970N3085	0.9871089511737099
5kmE3985N3085	0.9824895899260223
5kmE3985N3090	0.9847341928680702
5kmE3970N3090	0.9924997138557721
5kmE3980N3090	0.9825452849253618
5kmE3975N3090	0.9894410953654836
5kmE3965N3085	0.9876804120240638
5kmE3940N3085	0.9839210390168935
5kmE3955N3085	0.9810853405766146
5kmE3945N3085	0.961684041933739
5kmE3960N3085	0.9873647627542623
5kmE3950N3085	0.9320877534728789
5kmE3960N3090	0.9912280041438731
5kmE3950N3090	0.985195396225608
5kmE3965N3090	0.9942164460836537
5kmE3945N3090	0.9924072752692376
5kmE3920N3085	0.9784465976199375
5kmE3935N3085	0.982505459122916
5kmE3930N3090	0.991040815360229
5kmE3925N3090	0.9902283571212716
5kmE3915N3090	0.9863521784382362
5kmE3935N3090	0.9886738388127904
5kmE3920N3090	0.9901969514534609
5kmE3940N3090	0.9937458175806979
5kmE3935N3095	0.9895259018016523
5kmE3930N3095	0.9905136664743294
5kmE3995N3090	0.9732293918563799
5kmE3990N3090	0.9821831576612438
5kmE3970N3095	0.9775271400494454
5kmE3975N3095	0.9756774977576376
5kmE3990N3095	0.984092856460723
5kmE3995N3095	0.978938397648876
5kmE3985N3095	0.9847852983414878
5kmE3980N3095	0.9759750002500984
5kmE4000N3095	0.9736155253822562
5kmE3970N3100	0.9817753329966087
5kmE3955N3090	0.9852815166140013
5kmE3950N3095	0.9922904078898257
5kmE3960N3095	0.9852533374637215
5kmE3945N3095	0.9937559289135018
5kmE3955N3095	0.987023175660032
5kmE3965N3095	0.9880390074697196
5kmE3940N3095	0.9923273780181967
5kmE3955N3100	0.9899606081040012
5kmE3950N3100	0.9926068216022569
5kmE3960N3100	0.9881103791034028
5kmE3940N3100	0.9861271419000273
5kmE3965N3100	0.9857347162139515
5kmE3945N3100	0.9906835953787424
5kmE3950N3105	0.9892954122663897
5kmE3945N3105	0.9870327510294993
5kmE3955N3105	0.9911716398063268
5kmE3960N3105	0.9900459208381385
5kmE3940N3105	0.9823944883631122
5kmE3965N3105	0.9928488762317655
5kmE3940N3110	0.9891888619296929
5kmE3970N3105	0.9898745969019973
5kmE3975N3105	0.9921605315558166
5kmE3990N3105	0.9945741977694507
5kmE3985N3110	0.9752328180486818
5kmE3990N3110	0.9874826284313466
5kmE3980N3110	0.97639600875233
5kmE3995N3110	0.9815637436040185
5kmE3975N3110	0.9784122278305161
5kmE3970N3110	0.9899627121329325
5kmE4000N3110	0.9808063021629069
5kmE3925N3105	0.9893199727368713
5kmE3920N3105	0.9849843514704487
5kmE3935N3105	0.9838178948882254
5kmE3920N3110	0.9792621533576727
5kmE3930N3110	0.9917762413132113
5kmE3915N3110	0.9769552855315036
5kmE3925N3110	0.9905638100451767
5kmE3935N3110	0.9925138516978688
5kmE3935N3115	0.990776957775922
5kmE3930N3115	0.994336643281141
5kmE3950N3110	0.9761731322302377
5kmE3945N3110	0.9811509786077918
5kmE3965N3110	0.9936535417362864
5kmE3960N3110	0.9916687137056849
5kmE3955N3110	0.983171877937036
5kmE3955N3115	0.9714595790223152
5kmE3950N3115	0.975363987868525
5kmE3965N3115	0.9924726520476901
5kmE3960N3115	0.9848123358771503
5kmE3945N3115	0.9625702997644646
5kmE3975N3115	0.9804061115611754
5kmE3995N3115	0.9804557829982166
5kmE3985N3115	0.968197715182131
5kmE3990N3115	0.9805772870488468
5kmE3980N3115	0.9603339447697526
5kmE3970N3115	0.9918912697897126
5kmE4000N3115	0.9760674928407385
5kmE3995N3120	0.9795963139842659
5kmE3990N3120	0.9785605157553627
5kmE4000N3120	0.9759818483948782
5kmE3940N3115	0.9803064447566622
5kmE3965N3120	0.9898604486597585
5kmE3945N3120	0.9770966149266125
5kmE3960N3120	0.9743926448532447
5kmE3950N3120	0.9834588209355399
5kmE3955N3120	0.9681767115783951
5kmE3960N3125	0.9771648389965218
5kmE3945N3125	0.9840842586064458
5kmE3950N3125	0.9725491552034446
5kmE3955N3125	0.9639441977210416
5kmE3920N3115	0.978364501641117
5kmE3925N3115	0.9954786350306895
5kmE3915N3115	0.9845382496674546
5kmE3915N3120	0.9893258738365771
5kmE3935N3120	0.9920413486463254
5kmE3940N3120	0.9900559674205761
5kmE3920N3120	0.9921783161988752
5kmE3930N3120	0.9940192180799368
5kmE3925N3120	0.9960399850290832
5kmE3940N3125	0.9927525010397942
5kmE3970N3120	0.984398191410376
5kmE3980N3120	0.9641256708198643
5kmE3975N3120	0.965499014681941
5kmE3985N3120	0.9682438263726264
5kmE3990N3125	0.9743548519847854
5kmE3975N3125	0.9832002015040743
5kmE3995N3125	0.9762697511599103
5kmE4000N3125	0.9818027245254332
5kmE3980N3125	0.9829352475712911
5kmE3985N3125	0.9760537170617661
5kmE3920N3125	0.9951249837410323
5kmE3930N3125	0.9892818341612257
5kmE3935N3125	0.9921693047259892
5kmE3925N3125	0.9932770020685893
5kmE3940N3130	0.9857414880090135
5kmE3930N3130	0.9937854633483694
5kmE3920N3130	0.9938008406052549
5kmE3925N3130	0.99457218333192
5kmE3935N3130	0.9892094370512062
5kmE3920N3135	0.9943908960327976
5kmE3970N3125	0.9835377768922119
5kmE3965N3125	0.9835063618487188
5kmE3945N3130	0.9879003496825552
5kmE3965N3130	0.9882205552371217
5kmE3950N3130	0.9832019424198295
5kmE3960N3130	0.9899400277550303
5kmE3970N3130	0.985756638718671
5kmE3955N3130	0.9868337780005356
5kmE3965N3135	0.9883648286370278
5kmE3955N3135	0.9912590663265516
5kmE3960N3135	0.9916218129932188
5kmE3945N3135	0.9842498201963077
5kmE3950N3135	0.9864832857589972
5kmE3970N3135	0.9860624148807402
5kmE3955N3140	0.9894750682369015
5kmE3965N3140	0.9856609750566633
5kmE3970N3140	0.98022287583656
5kmE3960N3140	0.9900744598492977
5kmE3945N3140	0.9827136094213379
5kmE3950N3140	0.9869661173050744
5kmE3940N3135	0.9878335951084102
5kmE3930N3135	0.9924090132921803
5kmE3925N3135	0.9951056688163058
5kmE3935N3135	0.9901692344326374
5kmE3940N3140	0.9858032533961838
5kmE3930N3140	0.9918520754798054
5kmE3935N3140	0.9894907635905128
5kmE3925N3140	0.9968816458491825
5kmE3920N3140	0.9975942735061418
5kmE3935N3145	0.9842252416626506
5kmE3925N3145	0.9960065675781771
5kmE3940N3145	0.9793209929947867
5kmE3920N3145	0.9965291849735016
5kmE3915N3145	0.9966313271165085
5kmE3930N3145	0.9925524203052719
5kmE3915N3150	0.9937282527186262
5kmE3935N3150	0.9850671910025448
5kmE3925N3150	0.984230648710924
5kmE3930N3150	0.9816337562963309
5kmE3920N3150	0.9941746054701713
5kmE3970N3145	0.9862000387608194
5kmE3965N3145	0.982782214463575
5kmE3945N3145	0.9721056812980773
5kmE3950N3145	0.9781282584833675
5kmE3955N3145	0.9841893289826396
5kmE3960N3145	0.9844925725262705
5kmE3955N3150	0.9806468917415468
5kmE3950N3150	0.9706662028168016
5kmE3970N3150	0.9793945779973351
5kmE3965N3150	0.985735591780575
5kmE3995N3100	0.9902113939793241
5kmE4000N3100	0.9924089763506879
5kmE3990N3100	0.9938853729416421
5kmE3980N3100	0.9924108710840934
5kmE3985N3100	0.9881477671558655
5kmE3975N3100	0.9893120029667121
5kmE3995N3105	0.9877359717761311
5kmE3985N3105	0.988444932790318
5kmE3980N3105	0.9942001530275727
5kmE4000N3105	0.98884045676948
5kmE4005N3110	0.9743931827883011
5kmE4015N3110	0.9772819653899695
5kmE4020N3110	0.9914645392911662
5kmE4010N3110	0.9741210181352772
5kmE4025N3110	0.986164267942187
5kmE4005N3115	0.9644981052713507
5kmE4015N3115	0.9737963467979893
5kmE4010N3115	0.9572503900815846
5kmE4025N3115	0.9848592325218202
5kmE4030N3115	0.9744215638340828
5kmE4020N3115	0.9815771143262249
5kmE4030N3120	0.9848071874429396
5kmE4005N3120	0.97222470253775
5kmE4015N3120	0.9718533412260973
5kmE4020N3120	0.9728629601021509
